varsimobjid,agn_tau,agn_sfu,agn_sfg,agn_sfr,agn_sfi,agn_sfz,agn_sfy,t0_mjd,varMethodName,seed
15710853122,810.1,1.222,1.081,0.958,0.871,0.813,0.762,49350,applyAgn,153426
3210131458,205.5,0.513,0.454,0.403,0.366,0.342,0.32,49350,applyAgn,31348
4412719106,134.6,1.244,1.1,0.976,0.887,0.828,0.776,49350,applyAgn,43092
17833935874,31.44,0.531,0.47,0.417,0.379,0.354,0.332,49350,applyAgn,174159
12933100546,19.55,1.704,1.508,1.337,1.215,1.134,1.063,49350,applyAgn,126299
10314784770,280.8,0.41,0.363,0.322,0.293,0.273,0.256,49350,applyAgn,100730
9280697346,107.7,0.933,0.826,0.732,0.665,0.621,0.582,49350,applyAgn,90631
11070605314,74.47,1.146,1.014,0.899,0.817,0.762,0.715,49350,applyAgn,108111
929090562,141,0.963,0.852,0.755,0.686,0.641,0.6,49350,applyAgn,9073
22535689218,93.43,1.483,1.312,1.163,1.057,0.987,0.925,49350,applyAgn,220075
22590114818,82.31,1.929,1.707,1.514,1.376,1.284,1.204,49350,applyAgn,220606
11951806466,124.6,2.099,1.857,1.647,1.497,1.397,1.309,49350,applyAgn,116716
13588683778,157.7,0.462,0.408,0.362,0.329,0.307,0.288,49350,applyAgn,132701
386742274,13.28,1.15,1.018,0.902,0.82,0.765,0.717,49350,applyAgn,3776
3639934978,32.49,0.519,0.46,0.407,0.37,0.346,0.324,49350,applyAgn,35546
5898590210,62.36,2.29,2.026,1.797,1.633,1.524,1.428,49350,applyAgn,57603
13646058498,327.1,1.321,1.168,1.036,0.941,0.879,0.824,49350,applyAgn,133262
23499313154,12.29,1.131,1,0.887,0.806,0.752,0.705,49350,applyAgn,229485
18320116738,48.72,1.26,1.115,0.988,0.898,0.838,0.786,49350,applyAgn,178907
1252939778,65.62,1.785,1.58,1.401,1.273,1.188,1.114,49350,applyAgn,12235
22943108098,92.75,0.929,0.822,0.729,0.663,0.619,0.58,49350,applyAgn,224053
4980731906,59.07,0.976,0.863,0.765,0.696,0.649,0.609,49350,applyAgn,48639
24746638338,136.4,1.561,1.382,1.225,1.113,1.039,0.974,49350,applyAgn,241666
2906157058,92.32,1.607,1.422,1.261,1.146,1.069,1.002,49350,applyAgn,28380
5183139842,38.02,0.857,0.758,0.672,0.611,0.57,0.535,49350,applyAgn,50616
11779939330,59.77,1.094,0.968,0.858,0.78,0.728,0.682,49350,applyAgn,115038
25117278210,191.5,0.613,0.542,0.481,0.437,0.408,0.382,49350,applyAgn,245285
8036496386,300.9,1.286,1.138,1.009,0.917,0.856,0.802,49350,applyAgn,78481
