#i;ra;ec;corners
0;2.000000e+00;-8.800000e+01;[[0.000000, -90.000000], [4.000000,-90.000000], [4.000000,-86.000000], [0.000000, -86.000000]]
1;2.000000e+00;-8.400000e+01;[[0.000000, -86.000000], [4.000000,-86.000000], [4.000000,-82.000000], [0.000000, -82.000000]]
2;2.000000e+00;-8.000000e+01;[[0.000000, -82.000000], [4.000000,-82.000000], [4.000000,-78.000000], [0.000000, -78.000000]]
3;2.000000e+00;-7.600000e+01;[[0.000000, -78.000000], [4.000000,-78.000000], [4.000000,-74.000000], [0.000000, -74.000000]]
4;2.000000e+00;-7.200000e+01;[[0.000000, -74.000000], [4.000000,-74.000000], [4.000000,-70.000000], [0.000000, -70.000000]]
5;2.000000e+00;-6.800000e+01;[[0.000000, -70.000000], [4.000000,-70.000000], [4.000000,-66.000000], [0.000000, -66.000000]]
6;2.000000e+00;-6.400000e+01;[[0.000000, -66.000000], [4.000000,-66.000000], [4.000000,-62.000000], [0.000000, -62.000000]]
7;2.000000e+00;-6.000000e+01;[[0.000000, -62.000000], [4.000000,-62.000000], [4.000000,-58.000000], [0.000000, -58.000000]]
8;2.000000e+00;-5.600000e+01;[[0.000000, -58.000000], [4.000000,-58.000000], [4.000000,-54.000000], [0.000000, -54.000000]]
9;2.000000e+00;-5.200000e+01;[[0.000000, -54.000000], [4.000000,-54.000000], [4.000000,-50.000000], [0.000000, -50.000000]]
10;2.000000e+00;-4.800000e+01;[[0.000000, -50.000000], [4.000000,-50.000000], [4.000000,-46.000000], [0.000000, -46.000000]]
11;2.000000e+00;-4.400000e+01;[[0.000000, -46.000000], [4.000000,-46.000000], [4.000000,-42.000000], [0.000000, -42.000000]]
12;2.000000e+00;-4.000000e+01;[[0.000000, -42.000000], [4.000000,-42.000000], [4.000000,-38.000000], [0.000000, -38.000000]]
13;2.000000e+00;-3.600000e+01;[[0.000000, -38.000000], [4.000000,-38.000000], [4.000000,-34.000000], [0.000000, -34.000000]]
14;2.000000e+00;-3.200000e+01;[[0.000000, -34.000000], [4.000000,-34.000000], [4.000000,-30.000000], [0.000000, -30.000000]]
15;2.000000e+00;-2.800000e+01;[[0.000000, -30.000000], [4.000000,-30.000000], [4.000000,-26.000000], [0.000000, -26.000000]]
16;2.000000e+00;-2.400000e+01;[[0.000000, -26.000000], [4.000000,-26.000000], [4.000000,-22.000000], [0.000000, -22.000000]]
17;2.000000e+00;-2.000000e+01;[[0.000000, -22.000000], [4.000000,-22.000000], [4.000000,-18.000000], [0.000000, -18.000000]]
18;2.000000e+00;-1.600000e+01;[[0.000000, -18.000000], [4.000000,-18.000000], [4.000000,-14.000000], [0.000000, -14.000000]]
19;2.000000e+00;-1.200000e+01;[[0.000000, -14.000000], [4.000000,-14.000000], [4.000000,-10.000000], [0.000000, -10.000000]]
20;2.000000e+00;-8.000000e+00;[[0.000000, -10.000000], [4.000000,-10.000000], [4.000000,-6.000000], [0.000000, -6.000000]]
21;2.000000e+00;-4.000000e+00;[[0.000000, -6.000000], [4.000000,-6.000000], [4.000000,-2.000000], [0.000000, -2.000000]]
22;2.000000e+00;0.000000e+00;[[0.000000, -2.000000], [4.000000,-2.000000], [4.000000,2.000000], [0.000000, 2.000000]]
23;2.000000e+00;4.000000e+00;[[0.000000, 2.000000], [4.000000,2.000000], [4.000000,6.000000], [0.000000, 6.000000]]
24;2.000000e+00;8.000000e+00;[[0.000000, 6.000000], [4.000000,6.000000], [4.000000,10.000000], [0.000000, 10.000000]]
25;2.000000e+00;1.200000e+01;[[0.000000, 10.000000], [4.000000,10.000000], [4.000000,14.000000], [0.000000, 14.000000]]
26;2.000000e+00;1.600000e+01;[[0.000000, 14.000000], [4.000000,14.000000], [4.000000,18.000000], [0.000000, 18.000000]]
27;2.000000e+00;2.000000e+01;[[0.000000, 18.000000], [4.000000,18.000000], [4.000000,22.000000], [0.000000, 22.000000]]
28;2.000000e+00;2.400000e+01;[[0.000000, 22.000000], [4.000000,22.000000], [4.000000,26.000000], [0.000000, 26.000000]]
29;2.000000e+00;2.800000e+01;[[0.000000, 26.000000], [4.000000,26.000000], [4.000000,30.000000], [0.000000, 30.000000]]
30;2.000000e+00;3.200000e+01;[[0.000000, 30.000000], [4.000000,30.000000], [4.000000,34.000000], [0.000000, 34.000000]]
31;2.000000e+00;3.600000e+01;[[0.000000, 34.000000], [4.000000,34.000000], [4.000000,38.000000], [0.000000, 38.000000]]
32;2.000000e+00;4.000000e+01;[[0.000000, 38.000000], [4.000000,38.000000], [4.000000,42.000000], [0.000000, 42.000000]]
33;2.000000e+00;4.400000e+01;[[0.000000, 42.000000], [4.000000,42.000000], [4.000000,46.000000], [0.000000, 46.000000]]
34;2.000000e+00;4.800000e+01;[[0.000000, 46.000000], [4.000000,46.000000], [4.000000,50.000000], [0.000000, 50.000000]]
35;2.000000e+00;5.200000e+01;[[0.000000, 50.000000], [4.000000,50.000000], [4.000000,54.000000], [0.000000, 54.000000]]
36;2.000000e+00;5.600000e+01;[[0.000000, 54.000000], [4.000000,54.000000], [4.000000,58.000000], [0.000000, 58.000000]]
37;2.000000e+00;6.000000e+01;[[0.000000, 58.000000], [4.000000,58.000000], [4.000000,62.000000], [0.000000, 62.000000]]
38;2.000000e+00;6.400000e+01;[[0.000000, 62.000000], [4.000000,62.000000], [4.000000,66.000000], [0.000000, 66.000000]]
39;2.000000e+00;6.800000e+01;[[0.000000, 66.000000], [4.000000,66.000000], [4.000000,70.000000], [0.000000, 70.000000]]
40;2.000000e+00;7.200000e+01;[[0.000000, 70.000000], [4.000000,70.000000], [4.000000,74.000000], [0.000000, 74.000000]]
41;2.000000e+00;7.600000e+01;[[0.000000, 74.000000], [4.000000,74.000000], [4.000000,78.000000], [0.000000, 78.000000]]
42;2.000000e+00;8.000000e+01;[[0.000000, 78.000000], [4.000000,78.000000], [4.000000,82.000000], [0.000000, 82.000000]]
43;2.000000e+00;8.400000e+01;[[0.000000, 82.000000], [4.000000,82.000000], [4.000000,86.000000], [0.000000, 86.000000]]
44;2.000000e+00;8.800000e+01;[[0.000000, 86.000000], [4.000000,86.000000], [4.000000,90.000000], [0.000000, 90.000000]]
45;6.000000e+00;-8.800000e+01;[[4.000000, -90.000000], [8.000000,-90.000000], [8.000000,-86.000000], [4.000000, -86.000000]]
46;6.000000e+00;-8.400000e+01;[[4.000000, -86.000000], [8.000000,-86.000000], [8.000000,-82.000000], [4.000000, -82.000000]]
47;6.000000e+00;-8.000000e+01;[[4.000000, -82.000000], [8.000000,-82.000000], [8.000000,-78.000000], [4.000000, -78.000000]]
48;6.000000e+00;-7.600000e+01;[[4.000000, -78.000000], [8.000000,-78.000000], [8.000000,-74.000000], [4.000000, -74.000000]]
49;6.000000e+00;-7.200000e+01;[[4.000000, -74.000000], [8.000000,-74.000000], [8.000000,-70.000000], [4.000000, -70.000000]]
50;6.000000e+00;-6.800000e+01;[[4.000000, -70.000000], [8.000000,-70.000000], [8.000000,-66.000000], [4.000000, -66.000000]]
51;6.000000e+00;-6.400000e+01;[[4.000000, -66.000000], [8.000000,-66.000000], [8.000000,-62.000000], [4.000000, -62.000000]]
52;6.000000e+00;-6.000000e+01;[[4.000000, -62.000000], [8.000000,-62.000000], [8.000000,-58.000000], [4.000000, -58.000000]]
53;6.000000e+00;-5.600000e+01;[[4.000000, -58.000000], [8.000000,-58.000000], [8.000000,-54.000000], [4.000000, -54.000000]]
54;6.000000e+00;-5.200000e+01;[[4.000000, -54.000000], [8.000000,-54.000000], [8.000000,-50.000000], [4.000000, -50.000000]]
55;6.000000e+00;-4.800000e+01;[[4.000000, -50.000000], [8.000000,-50.000000], [8.000000,-46.000000], [4.000000, -46.000000]]
56;6.000000e+00;-4.400000e+01;[[4.000000, -46.000000], [8.000000,-46.000000], [8.000000,-42.000000], [4.000000, -42.000000]]
57;6.000000e+00;-4.000000e+01;[[4.000000, -42.000000], [8.000000,-42.000000], [8.000000,-38.000000], [4.000000, -38.000000]]
58;6.000000e+00;-3.600000e+01;[[4.000000, -38.000000], [8.000000,-38.000000], [8.000000,-34.000000], [4.000000, -34.000000]]
59;6.000000e+00;-3.200000e+01;[[4.000000, -34.000000], [8.000000,-34.000000], [8.000000,-30.000000], [4.000000, -30.000000]]
60;6.000000e+00;-2.800000e+01;[[4.000000, -30.000000], [8.000000,-30.000000], [8.000000,-26.000000], [4.000000, -26.000000]]
61;6.000000e+00;-2.400000e+01;[[4.000000, -26.000000], [8.000000,-26.000000], [8.000000,-22.000000], [4.000000, -22.000000]]
62;6.000000e+00;-2.000000e+01;[[4.000000, -22.000000], [8.000000,-22.000000], [8.000000,-18.000000], [4.000000, -18.000000]]
63;6.000000e+00;-1.600000e+01;[[4.000000, -18.000000], [8.000000,-18.000000], [8.000000,-14.000000], [4.000000, -14.000000]]
64;6.000000e+00;-1.200000e+01;[[4.000000, -14.000000], [8.000000,-14.000000], [8.000000,-10.000000], [4.000000, -10.000000]]
65;6.000000e+00;-8.000000e+00;[[4.000000, -10.000000], [8.000000,-10.000000], [8.000000,-6.000000], [4.000000, -6.000000]]
66;6.000000e+00;-4.000000e+00;[[4.000000, -6.000000], [8.000000,-6.000000], [8.000000,-2.000000], [4.000000, -2.000000]]
67;6.000000e+00;0.000000e+00;[[4.000000, -2.000000], [8.000000,-2.000000], [8.000000,2.000000], [4.000000, 2.000000]]
68;6.000000e+00;4.000000e+00;[[4.000000, 2.000000], [8.000000,2.000000], [8.000000,6.000000], [4.000000, 6.000000]]
69;6.000000e+00;8.000000e+00;[[4.000000, 6.000000], [8.000000,6.000000], [8.000000,10.000000], [4.000000, 10.000000]]
70;6.000000e+00;1.200000e+01;[[4.000000, 10.000000], [8.000000,10.000000], [8.000000,14.000000], [4.000000, 14.000000]]
71;6.000000e+00;1.600000e+01;[[4.000000, 14.000000], [8.000000,14.000000], [8.000000,18.000000], [4.000000, 18.000000]]
72;6.000000e+00;2.000000e+01;[[4.000000, 18.000000], [8.000000,18.000000], [8.000000,22.000000], [4.000000, 22.000000]]
73;6.000000e+00;2.400000e+01;[[4.000000, 22.000000], [8.000000,22.000000], [8.000000,26.000000], [4.000000, 26.000000]]
74;6.000000e+00;2.800000e+01;[[4.000000, 26.000000], [8.000000,26.000000], [8.000000,30.000000], [4.000000, 30.000000]]
75;6.000000e+00;3.200000e+01;[[4.000000, 30.000000], [8.000000,30.000000], [8.000000,34.000000], [4.000000, 34.000000]]
76;6.000000e+00;3.600000e+01;[[4.000000, 34.000000], [8.000000,34.000000], [8.000000,38.000000], [4.000000, 38.000000]]
77;6.000000e+00;4.000000e+01;[[4.000000, 38.000000], [8.000000,38.000000], [8.000000,42.000000], [4.000000, 42.000000]]
78;6.000000e+00;4.400000e+01;[[4.000000, 42.000000], [8.000000,42.000000], [8.000000,46.000000], [4.000000, 46.000000]]
79;6.000000e+00;4.800000e+01;[[4.000000, 46.000000], [8.000000,46.000000], [8.000000,50.000000], [4.000000, 50.000000]]
80;6.000000e+00;5.200000e+01;[[4.000000, 50.000000], [8.000000,50.000000], [8.000000,54.000000], [4.000000, 54.000000]]
81;6.000000e+00;5.600000e+01;[[4.000000, 54.000000], [8.000000,54.000000], [8.000000,58.000000], [4.000000, 58.000000]]
82;6.000000e+00;6.000000e+01;[[4.000000, 58.000000], [8.000000,58.000000], [8.000000,62.000000], [4.000000, 62.000000]]
83;6.000000e+00;6.400000e+01;[[4.000000, 62.000000], [8.000000,62.000000], [8.000000,66.000000], [4.000000, 66.000000]]
84;6.000000e+00;6.800000e+01;[[4.000000, 66.000000], [8.000000,66.000000], [8.000000,70.000000], [4.000000, 70.000000]]
85;6.000000e+00;7.200000e+01;[[4.000000, 70.000000], [8.000000,70.000000], [8.000000,74.000000], [4.000000, 74.000000]]
86;6.000000e+00;7.600000e+01;[[4.000000, 74.000000], [8.000000,74.000000], [8.000000,78.000000], [4.000000, 78.000000]]
87;6.000000e+00;8.000000e+01;[[4.000000, 78.000000], [8.000000,78.000000], [8.000000,82.000000], [4.000000, 82.000000]]
88;6.000000e+00;8.400000e+01;[[4.000000, 82.000000], [8.000000,82.000000], [8.000000,86.000000], [4.000000, 86.000000]]
89;6.000000e+00;8.800000e+01;[[4.000000, 86.000000], [8.000000,86.000000], [8.000000,90.000000], [4.000000, 90.000000]]
90;1.000000e+01;-8.800000e+01;[[8.000000, -90.000000], [12.000000,-90.000000], [12.000000,-86.000000], [8.000000, -86.000000]]
