varsimobjid,filename,tStartMjd,varMethodName
866367489,rrly_lc/RRab/1912140_per.txt,33542.7104707137,applyRRly
865316865,rrly_lc/RRab/1157760_per.txt,33332.3803051724,applyRRly
863266817,rrly_lc/RRc/2291937_per.txt,33624.9329359544,applyRRly
867475457,rrly_lc/RRab/4983075_per.txt,33413.0391684901,applyRRly
865001473,rrly_lc/RRab/2677849_per.txt,33377.3884022419,applyRRly
860880897,rrly_lc/RRab/1561045_per.txt,33458.2084818953,applyRRly
862570497,rrly_lc/RRc/3031571_per.txt,33634.2365279972,applyRRly
862033921,rrly_lc/RRc/562035_per.txt,33634.9645901802,applyRRly
861642753,rrly_lc/RRab/1320077_per.txt,33529.6174919488,applyRRly
318522369,rrly_lc/RRab/2881014_per.txt,33549.0977091668,applyRRly
864371713,rrly_lc/RRab/2961934_per.txt,33474.3688557185,applyRRly
865654785,rrly_lc/RRab/1898191_per.txt,33440.585913527,applyRRly
864985089,rrly_lc/RRc/1516296_per.txt,33630.960248174,applyRRly
859926529,rrly_lc/RRab/1060996_per.txt,33537.5186984042,applyRRly
861271041,rrly_lc/RRab/2993715_per.txt,33556.5913207892,applyRRly
860631041,rrly_lc/RRc/2396343_per.txt,33583.9291808911,applyRRly
860843009,rrly_lc/RRab/3992128_per.txt,33565.5308817405,applyRRly
732337153,rrly_lc/RRab/3488054_per.txt,33402.7588165758,applyRRly
865041409,rrly_lc/RRab/151276_per.txt,33283.9945209016,applyRRly
863293441,rrly_lc/RRab/479770_per.txt,33441.003683397,applyRRly
862807041,rrly_lc/RRab/3487796_per.txt,33417.9804576143,applyRRly
863725569,rrly_lc/RRab/2089796_per.txt,33459.9211597956,applyRRly
860692481,rrly_lc/RRc/376465_per.txt,33636.7847456376,applyRRly
720803841,rrly_lc/RRab/20406_per.txt,33439.3049315216,applyRRly
720236545,rrly_lc/RRc/4150624_per.txt,33596.1052089121,applyRRly
860652545,rrly_lc/RRab/3008757_per.txt,33365.1786316464,applyRRly
305591297,rrly_lc/RRc/2984427_per.txt,33569.4297115109,applyRRly
861108225,rrly_lc/RRab/519433_per.txt,33544.2740726367,applyRRly
860693505,rrly_lc/RRc/2779194_per.txt,33643.749004975,applyRRly
862382081,rrly_lc/RRab/4152720_per.txt,33447.812796578,applyRRly
862099457,rrly_lc/RRab/156391_per.txt,33350.677196945,applyRRly
860875777,rrly_lc/RRab/1116811_per.txt,33423.3871852079,applyRRly
861969409,rrly_lc/RRab/3009615_per.txt,33561.2162474214,applyRRly
709982209,rrly_lc/RRc/2609442_per.txt,33571.0113443167,applyRRly
710278145,rrly_lc/RRab/2684274_per.txt,33393.6823200053,applyRRly
287936513,rrly_lc/RRc/2396343_per.txt,33583.6329942576,applyRRly
709694465,rrly_lc/RRab/1529930_per.txt,33439.0544481663,applyRRly
709882881,rrly_lc/RRc/844778_per.txt,33625.4781795855,applyRRly
853812225,rrly_lc/RRab/1635700_per.txt,33563.9256813973,applyRRly
287969281,rrly_lc/RRab/2369144_per.txt,33441.489297725,applyRRly
853738497,rrly_lc/RRab/4956438_per.txt,33427.4990047712,applyRRly
853292033,rrly_lc/RRab/1777602_per.txt,33311.0818976482,applyRRly
853526529,rrly_lc/RRab/1231908_per.txt,33445.8973039218,applyRRly
852170753,rrly_lc/RRab/156391_per.txt,33350.2178286547,applyRRly
852257793,rrly_lc/RRc/747380_per.txt,33577.1798766678,applyRRly
852153345,rrly_lc/RRc/778130_per.txt,33596.8254152493,applyRRly
852312065,rrly_lc/RRc/3585856_per.txt,33581.2856260519,applyRRly
851993601,rrly_lc/RRc/2488976_per.txt,33605.4009451091,applyRRly
852390913,rrly_lc/RRab/2708658_per.txt,33387.5336042038,applyRRly
709402625,rrly_lc/RRc/765345_per.txt,33644.2405098276,applyRRly
852227073,rrly_lc/RRab/3938770_per.txt,33368.2520967138,applyRRly
884410369,rrly_lc/RRc/4455741_per.txt,33612.9615083561,applyRRly
873613313,rrly_lc/RRab/315111_per.txt,33546.8101499188,applyRRly
852732929,rrly_lc/RRab/1532452_per.txt,33523.5962499083,applyRRly
852627457,rrly_lc/RRab/1094455_per.txt,33536.2775291524,applyRRly
852728833,rrly_lc/RRab/719834_per.txt,33495.7392125585,applyRRly
852533249,rrly_lc/RRc/844778_per.txt,33625.5656609385,applyRRly
852575233,rrly_lc/RRab/452872_per.txt,33546.1002982732,applyRRly
852724737,rrly_lc/RRab/1660792_per.txt,33467.8821752086,applyRRly
852768769,rrly_lc/RRab/3488054_per.txt,33402.3453312182,applyRRly
852614145,rrly_lc/RRab/1231908_per.txt,33445.7421577653,applyRRly
852576257,rrly_lc/RRab/627003_per.txt,33553.0645576106,applyRRly
287229953,rrly_lc/RRab/1532452_per.txt,33523.2939930957,applyRRly
852459521,rrly_lc/RRab/3138275_per.txt,33489.1389843125,applyRRly
852384769,rrly_lc/RRab/2198610_per.txt,33345.748048179,applyRRly
852454401,rrly_lc/RRab/3070595_per.txt,33454.3176876252,applyRRly
852036609,rrly_lc/RRab/2108339_per.txt,33532.8998419511,applyRRly
709391361,rrly_lc/RRab/4099_per.txt,33567.6336571155,applyRRly
852245505,rrly_lc/RRab/2945973_per.txt,33493.6087647882,applyRRly
852328449,rrly_lc/RRab/398718_per.txt,33327.7137801199,applyRRly
852559873,rrly_lc/RRab/2369144_per.txt,33441.6364083811,applyRRly
852426753,rrly_lc/RRc/1986301_per.txt,33631.2826808451,applyRRly
864098305,rrly_lc/RRab/20406_per.txt,33439.9115901226,applyRRly
864367617,rrly_lc/RRab/343892_per.txt,33446.5118183686,applyRRly
862836737,rrly_lc/RRc/2754458_per.txt,33619.9439782308,applyRRly
863645697,rrly_lc/RRc/3200791_per.txt,33646.7089223063,applyRRly
863173633,rrly_lc/RRab/2105372_per.txt,33356.1853319166,applyRRly
321753089,rrly_lc/RRc/3186655_per.txt,33621.3361887812,applyRRly
864743425,rrly_lc/RRab/404325_per.txt,33447.395026708,applyRRly
864839681,rrly_lc/RRab/543302_per.txt,33372.0354134268,applyRRly
864188417,rrly_lc/RRab/490555_per.txt,33322.7664208166,applyRRly
720782337,rrly_lc/RRab/3420019_per.txt,33293.0554854349,applyRRly
862450689,rrly_lc/RRab/2881014_per.txt,33549.4181765168,applyRRly
862631937,rrly_lc/RRab/490555_per.txt,33322.0920974122,applyRRly
861578241,rrly_lc/RRab/4920018_per.txt,33455.8691491899,applyRRly
862307329,rrly_lc/RRab/3671840_per.txt,33304.4218604445,applyRRly
861590529,rrly_lc/RRab/3477138_per.txt,33539.4402612395,applyRRly
861792257,rrly_lc/RRab/98874_per.txt,33451.3993687143,applyRRly
306988033,rrly_lc/RRc/3490598_per.txt,33578.6795647752,applyRRly
865912833,rrly_lc/RRab/1640797_per.txt,33370.5792890609,applyRRly
731359233,rrly_lc/RRab/1375324_per.txt,33321.891068323,applyRRly
865496065,rrly_lc/RRab/4920018_per.txt,33456.1257027243,applyRRly
863948801,rrly_lc/RRab/1464306_per.txt,33518.1297133571,applyRRly
863441921,rrly_lc/RRab/2407601_per.txt,33355.8213008251,applyRRly
865404929,rrly_lc/RRab/4514429_per.txt,33566.3066125229,applyRRly
863298561,rrly_lc/RRab/2898698_per.txt,33475.8249800844,applyRRly
725218305,rrly_lc/RRab/1500601_per.txt,33532.2273042134,applyRRly
864074753,rrly_lc/RRc/470994_per.txt,33644.7336206924,applyRRly
310052865,rrly_lc/RRc/2863787_per.txt,33617.7080182246,applyRRly
862754817,rrly_lc/RRab/4956438_per.txt,33427.8032269051,applyRRly
