# htmid ra dec ecliptic_lon ecliptic_lat glon glat
11841 -4.142168e+01 -4.360881e+00 3.199444e+02 1.110534e+01 4.665987e+01 -3.355590e+01
11844 -3.700746e+01 -1.045226e+01 3.222302e+02 3.955585e+00 4.256212e+01 -4.030520e+01
11845 -3.637903e+01 -7.405167e+00 3.238011e+02 6.643293e+00 4.644640e+01 -3.942048e+01
11846 -3.923062e+01 -7.412564e+00 3.210958e+02 7.531657e+00 4.470077e+01 -3.694770e+01
11847 -3.702085e+01 -7.868193e+00 3.230451e+02 6.408944e+00 4.552524e+01 -3.908839e+01
11848 -3.515625e+01 -1.306381e+00 3.269915e+02 1.200770e+01 5.389071e+01 -3.727043e+01
11849 -3.796875e+01 -1.305491e+00 3.242705e+02 1.292840e+01 5.198456e+01 -3.491786e+01
11850 -3.576454e+01 -4.356141e+00 3.253846e+02 9.328735e+00 5.022416e+01 -3.840490e+01
11851 -3.576648e+01 -1.747418e+00 3.262540e+02 1.179349e+01 5.300698e+01 -3.700524e+01
11852 -3.639354e+01 -4.809442e+00 3.246345e+02 9.104319e+00 4.931618e+01 -3.810453e+01
11853 -3.859688e+01 -1.757507e+00 3.235121e+02 1.270121e+01 5.110993e+01 -3.463071e+01
11854 -3.923132e+01 -4.816793e+00 3.219140e+02 9.998284e+00 4.750808e+01 -3.567431e+01
11855 -3.859120e+01 -4.358588e+00 3.226756e+02 1.023267e+01 4.839396e+01 -3.599254e+01
11856 -2.751687e+01 -2.239002e+01 3.267743e+02 -1.034522e+01 3.122770e+01 -5.318494e+01
11857 -2.694512e+01 -1.938585e+01 3.283687e+02 -7.731582e+00 3.625172e+01 -5.277894e+01
11858 -3.000972e+01 -1.945035e+01 3.256191e+02 -6.773445e+00 3.460745e+01 -5.007566e+01
11859 -2.759344e+01 -1.987849e+01 3.276154e+02 -7.973870e+00 3.515461e+01 -5.236545e+01
11860 -2.587198e+01 -1.337070e+01 3.314952e+02 -2.482741e+00 4.590717e+01 -5.134268e+01
11861 -2.882689e+01 -1.343757e+01 3.287811e+02 -1.529321e+00 4.381666e+01 -4.879945e+01
11862 -2.639960e+01 -1.637906e+01 3.299390e+02 -5.109379e+00 4.115750e+01 -5.216011e+01
11863 -2.647252e+01 -1.384200e+01 3.307810e+02 -2.714368e+00 4.481789e+01 -5.103170e+01
11864 -3.473959e+01 -1.347566e+01 3.233558e+02 3.782843e-01 4.020230e+01 -4.361970e+01
11865 -3.241181e+01 -1.647675e+01 3.244828e+02 -3.198440e+00 3.757230e+01 -4.688124e+01
11866 -3.178302e+01 -1.347137e+01 3.260688e+02 -5.737860e-01 4.192746e+01 -4.622269e+01
11867 -3.242665e+01 -1.394607e+01 3.253201e+02 -8.100456e-01 4.092664e+01 -4.585705e+01
11868 -2.945084e+01 -1.391429e+01 3.280466e+02 -1.765632e+00 4.276884e+01 -4.846000e+01
11869 -3.004740e+01 -1.692601e+01 3.264631e+02 -4.392651e+00 3.823135e+01 -4.914756e+01
11870 -2.702676e+01 -1.686246e+01 3.292020e+02 -5.346572e+00 4.005383e+01 -5.179586e+01
11871 -2.940304e+01 -1.644395e+01 3.272111e+02 -4.154204e+00 3.927677e+01 -4.953409e+01
11876 -3.234375e+01 -1.316660e+00 3.296893e+02 1.104912e+01 5.590565e+01 -3.959766e+01
11877 -3.004365e+01 -4.340328e+00 3.308181e+02 7.418951e+00 5.430820e+01 -4.320108e+01
11878 -2.953125e+01 -1.317666e+00 3.323715e+02 1.007252e+01 5.806619e+01 -4.188405e+01
11879 -3.004581e+01 -1.709179e+00 3.317430e+02 9.886119e+00 5.723571e+01 -4.169834e+01
11880 -2.537143e+01 -1.035898e+01 3.330333e+02 1.528194e-01 5.046424e+01 -5.032731e+01
11881 -2.487318e+01 -7.347701e+00 3.345779e+02 2.784570e+00 5.481977e+01 -4.914830e+01
11882 -2.772401e+01 -7.356180e+00 3.319296e+02 3.786363e+00 5.251248e+01 -4.677994e+01
11883 -2.538700e+01 -7.744834e+00 3.339590e+02 2.597754e+00 5.388668e+01 -4.894067e+01
11884 -2.772595e+01 -4.730529e+00 3.328594e+02 6.243223e+00 5.566931e+01 -4.533199e+01
11885 -2.488892e+01 -4.722102e+00 3.355155e+02 5.238036e+00 5.805189e+01 -4.763514e+01
11886 -2.721984e+01 -1.706791e+00 3.344218e+02 8.888974e+00 5.952930e+01 -4.396804e+01
11887 -2.721324e+01 -4.337468e+00 3.334806e+02 6.429201e+00 5.654508e+01 -4.552692e+01
11888 -2.594787e+01 -1.079997e+01 3.323462e+02 -5.571101e-02 4.942493e+01 -5.005743e+01
11889 -2.829848e+01 -7.793496e+00 3.312412e+02 3.577381e+00 5.153281e+01 -4.652826e+01
11890 -2.887442e+01 -1.086621e+01 3.296334e+02 8.971257e-01 4.721231e+01 -4.757838e+01
11891 -2.824325e+01 -1.039191e+01 3.303805e+02 1.124795e+00 4.827550e+01 -4.789220e+01
11892 -3.291613e+01 -1.750332e+00 3.289908e+02 1.083666e+01 5.502174e+01 -3.937388e+01
11893 -3.351830e+01 -4.801316e+00 3.273732e+02 8.167406e+00 5.126187e+01 -4.054271e+01
11894 -3.061673e+01 -4.775200e+00 3.301260e+02 7.208676e+00 5.338004e+01 -4.296459e+01
11895 -3.289396e+01 -4.330749e+00 3.281254e+02 8.401277e+00 5.222497e+01 -4.081713e+01
11896 -3.473002e+01 -1.090376e+01 3.242060e+02 2.805732e+00 4.337531e+01 -4.250533e+01
11897 -3.180203e+01 -1.089959e+01 3.269210e+02 1.852831e+00 4.520777e+01 -4.505822e+01
11898 -3.412035e+01 -7.852851e+00 3.257819e+02 5.488977e+00 4.737822e+01 -4.159080e+01
11899 -3.412190e+01 -1.045934e+01 3.249174e+02 3.029191e+00 4.428448e+01 -4.283358e+01
11900 -3.350087e+01 -7.394010e+00 3.265170e+02 5.717904e+00 4.832091e+01 -4.189543e+01
11901 -3.118026e+01 -1.043680e+01 3.276532e+02 2.080805e+00 4.619484e+01 -4.538089e+01
11902 -3.058528e+01 -7.367770e+00 3.292581e+02 4.763796e+00 5.036857e+01 -4.437120e+01
11903 -3.121118e+01 -7.838661e+00 3.285115e+02 4.533798e+00 4.936082e+01 -4.407943e+01
11968 -2.486918e+01 -2.280908e+01 3.289387e+02 -1.162419e+01 3.165527e+01 -5.565245e+01
11970 -2.434941e+01 -1.979666e+01 3.305220e+02 -9.000632e+00 3.698083e+01 -5.522135e+01
11971 -2.438432e+01 -2.243354e+01 3.295047e+02 -1.144030e+01 3.251137e+01 -5.598413e+01
11976 -2.335534e+01 -1.376907e+01 3.336345e+02 -3.739913e+00 4.715921e+01 -5.370140e+01
11977 -2.384776e+01 -1.678296e+01 3.320835e+02 -6.370993e+00 4.216341e+01 -5.456523e+01
11978 -2.064326e+01 -1.676648e+01 3.349601e+02 -7.493339e+00 4.441100e+01 -5.736408e+01
11979 -2.335329e+01 -1.637579e+01 3.326773e+02 -6.165934e+00 4.313874e+01 -5.483496e+01
11981 -2.385579e+01 -1.940329e+01 3.311061e+02 -8.805669e+00 3.790797e+01 -5.552705e+01
12004 -2.288356e+01 -1.075296e+01 3.351693e+02 -1.102030e+00 5.192669e+01 -5.263121e+01
12006 -2.240556e+01 -7.738541e+00 3.367149e+02 1.528747e+00 5.645882e+01 -5.139334e+01
12007 -2.232187e+01 -1.025173e+01 3.358672e+02 -8.386387e-01 5.310902e+01 -5.284041e+01
12020 -2.280475e+01 -1.330630e+01 3.343036e+02 -3.505622e+00 4.827537e+01 -5.395983e+01
12021 -2.009089e+01 -1.629716e+01 3.356328e+02 -7.257538e+00 4.561753e+01 -5.764795e+01
12023 -2.020041e+01 -1.371276e+01 3.365102e+02 -4.822554e+00 4.976020e+01 -5.638040e+01
12098 -4.282978e+01 -5.356581e+00 3.182773e+02 1.057700e+01 4.479985e+01 -3.282305e+01
12101 -4.719251e+01 -1.152926e+01 3.123245e+02 5.884751e+00 3.597675e+01 -3.176702e+01
12104 -3.842360e+01 -1.145904e+01 3.205900e+02 3.438491e+00 4.058177e+01 -3.950583e+01
12105 -4.064098e+01 -8.411770e+00 3.194461e+02 7.010301e+00 4.278498e+01 -3.618459e+01
12106 -4.280749e+01 -1.152926e+01 3.164638e+02 4.671539e+00 3.816503e+01 -3.565928e+01
12107 -4.061461e+01 -1.000933e+01 3.189830e+02 5.480280e+00 4.102839e+01 -3.693439e+01
12108 -4.500000e+01 -1.003583e+01 3.148232e+02 6.721924e+00 3.866963e+01 -3.307172e+01
12109 -4.282336e+01 -6.931497e+00 3.178103e+02 9.070793e+00 4.314983e+01 -3.358089e+01
12111 -4.500000e+01 -8.442532e+00 3.152790e+02 8.249774e+00 4.036599e+01 -3.236338e+01
12128 -2.896460e+01 -2.345330e+01 3.251212e+02 -1.086334e+01 2.895860e+01 -5.217672e+01
12129 -3.144611e+01 -2.049336e+01 3.239802e+02 -7.287586e+00 3.241333e+01 -4.913289e+01
12130 -3.352042e+01 -2.387877e+01 3.209916e+02 -9.820587e+00 2.667100e+01 -4.824580e+01
12131 -3.124930e+01 -2.230421e+01 3.235262e+02 -9.051352e+00 2.983302e+01 -4.984252e+01
12132 -3.615721e+01 -1.448870e+01 3.217262e+02 -1.344125e-01 3.815987e+01 -4.278179e+01
12133 -3.825747e+01 -1.778420e+01 3.187676e+02 -2.620856e+00 3.298807e+01 -4.216362e+01
12134 -3.383868e+01 -1.750353e+01 3.228508e+02 -3.711021e+00 3.545439e+01 -4.599447e+01
12135 -3.603599e+01 -1.625010e+01 3.212706e+02 -1.839907e+00 3.599867e+01 -4.357725e+01
12136 -4.269883e+01 -2.430824e+01 3.128139e+02 -7.577980e+00 2.302005e+01 -4.027275e+01
12137 -3.810177e+01 -2.416472e+01 3.168898e+02 -8.723633e+00 2.471808e+01 -4.427455e+01
12138 -4.043255e+01 -2.105879e+01 3.158000e+02 -5.103617e+00 2.793296e+01 -4.132241e+01
12139 -4.036550e+01 -2.287686e+01 3.153028e+02 -6.854262e+00 2.563706e+01 -4.192582e+01
12140 -3.815408e+01 -1.957898e+01 3.182977e+02 -4.356046e+00 3.074621e+01 -4.287118e+01
12141 -3.579828e+01 -2.265249e+01 3.194040e+02 -7.970597e+00 2.758855e+01 -4.590224e+01
12142 -3.368887e+01 -1.929535e+01 3.223890e+02 -5.448533e+00 3.309064e+01 -4.675030e+01
12143 -3.593018e+01 -2.084191e+01 3.198799e+02 -6.218402e+00 3.000939e+01 -4.525234e+01
12144 -4.500000e+01 -2.290626e+01 3.111891e+02 -5.626932e+00 2.397373e+01 -3.785135e+01
12145 -4.270386e+01 -1.968860e+01 3.141723e+02 -3.160641e+00 2.872918e+01 -3.886482e+01
12146 -4.729614e+01 -1.968860e+01 3.100192e+02 -1.943727e+00 2.690720e+01 -3.479420e+01
12147 -4.500000e+01 -2.116225e+01 3.116831e+02 -3.953818e+00 2.606664e+01 -3.731209e+01
12148 -3.838067e+01 -1.316617e+01 3.200966e+02 1.803502e+00 3.859186e+01 -4.027069e+01
12149 -4.279315e+01 -1.323679e+01 3.159766e+02 3.034584e+00 3.625382e+01 -3.638497e+01
12150 -4.050269e+01 -1.644042e+01 3.171383e+02 -6.823034e-01 3.360953e+01 -3.967574e+01
12151 -4.053403e+01 -1.463864e+01 3.176544e+02 1.044276e+00 3.574501e+01 -3.895601e+01
12154 -4.720685e+01 -1.323679e+01 3.118459e+02 4.245062e+00 3.413417e+01 -3.246008e+01
12156 -4.500000e+01 -1.468390e+01 3.135072e+02 2.262739e+00 3.356562e+01 -3.500116e+01
12157 -4.727198e+01 -1.791032e+01 3.105212e+02 -2.375930e-01 2.893773e+01 -3.419236e+01
12158 -4.272802e+01 -1.791032e+01 3.146709e+02 -1.453423e+00 3.085367e+01 -3.823054e+01
12159 -4.500000e+01 -1.648087e+01 3.130015e+02 5.383464e-01 3.153010e+01 -3.568856e+01
12256 -2.867751e+01 -2.563538e+01 3.245762e+02 -1.299532e+01 2.556182e+01 -5.292847e+01
12257 -3.331287e+01 -2.606791e+01 3.204182e+02 -1.194443e+01 2.351750e+01 -4.893720e+01
12259 -3.065583e+01 -2.701612e+01 3.223689e+02 -1.365635e+01 2.279460e+01 -5.145412e+01
12262 -3.797626e+01 -2.635795e+01 3.162914e+02 -1.083917e+01 2.176860e+01 -4.491694e+01
