# htmid ra dec glon glat
8208 1.471276e+00 -2.108741e+01 6.066529e+01 -7.798643e+01
8209 4.480881e+00 -1.837042e+01 7.980525e+01 -7.832913e+01
8211 1.589946e+00 -1.841937e+01 7.058721e+01 -7.645577e+01
8214 7.396021e+00 -1.560730e+01 9.805181e+01 -7.741076e+01
8222 4.552214e+00 -1.569008e+01 8.724995e+01 -7.620354e+01
8260 1.300789e+01 -3.629415e+01 3.021810e+02 -8.083323e+01
8261 9.170144e+00 -3.602777e+01 3.214388e+02 -8.056407e+01
8262 9.534219e+00 -3.884075e+01 3.154432e+02 -7.796253e+01
8263 9.819874e+00 -3.661516e+01 3.173679e+02 -8.016988e+01
8264 1.597716e+00 -3.514576e+01 3.503681e+02 -7.747807e+01
8266 5.363152e+00 -3.564541e+01 3.379565e+02 -7.935488e+01
8267 2.153222e+00 -3.574729e+01 3.468999e+02 -7.745690e+01
8268 5.967158e+00 -3.624498e+01 3.339271e+02 -7.916742e+01
8270 6.208710e+00 -3.906630e+01 3.261883e+02 -7.683590e+01
8271 5.569551e+00 -3.845909e+01 3.294237e+02 -7.712944e+01
8272 2.491556e+01 -2.528873e+01 2.059861e+02 -7.903271e+01
8273 2.154061e+01 -2.530560e+01 2.017056e+02 -8.200345e+01
8274 2.218638e+01 -2.813845e+01 2.220535e+02 -8.167761e+01
8275 2.219423e+01 -2.582319e+01 2.061589e+02 -8.154508e+01
8276 1.479782e+01 -2.512116e+01 1.642909e+02 -8.734359e+01
8277 1.525485e+01 -2.796713e+01 2.350365e+02 -8.771659e+01
8278 1.816668e+01 -2.525101e+01 1.926052e+02 -8.488166e+01
8279 1.539025e+01 -2.564685e+01 1.803372e+02 -8.729195e+01
8280 1.625714e+01 -3.365281e+01 2.795856e+02 -8.284878e+01
8281 1.930795e+01 -3.092996e+01 2.484558e+02 -8.320193e+01
8282 1.573825e+01 -3.081131e+01 2.692541e+02 -8.553866e+01
8283 1.639392e+01 -3.135998e+01 2.676978e+02 -8.476462e+01
8284 1.588126e+01 -2.850589e+01 2.409009e+02 -8.699341e+01
8285 1.936992e+01 -2.862181e+01 2.289885e+02 -8.405527e+01
8286 1.879173e+01 -2.577695e+01 1.999921e+02 -8.452029e+01
8287 1.871587e+01 -2.809070e+01 2.247877e+02 -8.472259e+01
8288 1.445765e+00 -2.389949e+01 4.781358e+01 -7.921038e+01
8289 1.478548e+00 -2.671109e+01 3.269515e+01 -7.984718e+01
8290 4.757788e+00 -2.431298e+01 5.222900e+01 -8.217913e+01
8291 1.861684e+00 -2.437814e+01 4.600585e+01 -7.972422e+01
8292 1.558338e+00 -3.233417e+01 2.259647e+00 -7.890055e+01
8293 5.010785e+00 -2.994866e+01 8.840772e+00 -8.255276e+01
8294 1.514322e+00 -2.952267e+01 1.679372e+01 -7.973511e+01
8295 1.974306e+00 -3.003107e+01 1.347863e+01 -8.001512e+01
